feature,mean_abs_shap_value
Protein_OHE_474,0.0048773116
Protein_OHE_50,0.0048491317
Protein_OHE_776,0.00481292
Protein_OHE_210,0.0047899317
TTF_2017,0.004788139
MACCS_44,0.004760638
Protein_OHE_88,0.0047538443
Protein_OHE_950,0.004729368
MACCS_101,0.004717942
MACCS_42,0.004711876
TTF_481,0.0046896674
Protein_OHE_670,0.0046820077
Protein_OHE_270,0.0046342867
Protein_OHE_24,0.0046083685
Protein_OHE_689,0.004591194
Protein_OHE_261,0.004583521
Protein_OHE_761,0.004573885
Protein_OHE_859,0.0045660785
Protein_OHE_997,0.004535343
Protein_OHE_644,0.0045084297
Protein_OHE_686,0.004505239
MACCS_112,0.004472693
TTF_1213,0.0044701383
Protein_OHE_246,0.0044649285
Protein_OHE_866,0.0044476087
TTF_1966,0.004422255
Protein_OHE_117,0.0044044834
TTF_529,0.0044028684
Protein_OHE_253,0.0043694368
MACCS_154,0.004360697
Protein_OHE_870,0.004358893
TTF_1602,0.0043533714
Protein_OHE_234,0.004350948
Protein_OHE_718,0.004332275
TTF_1833,0.0043223742
Protein_OHE_404,0.004321438
TTF_1441,0.0043018432
TTF_265,0.0042577614
Protein_OHE_650,0.004248975
MACCS_53,0.0042376765
Protein_OHE_191,0.004234662
Protein_OHE_733,0.0042294925
TTF_743,0.0042172847
Protein_OHE_555,0.004171831
Protein_OHE_485,0.0041604876
Protein_OHE_388,0.004137209
Protein_OHE_56,0.0041343095
Protein_OHE_538,0.004132685
Protein_OHE_389,0.0041092294
Protein_OHE_353,0.0040996913
TTF_913,0.0040927962
Protein_OHE_443,0.004070887
MACCS_141,0.004070383
MACCS_131,0.004052891
Protein_OHE_965,0.004046911
TTF_653,0.004041648
Protein_OHE_429,0.0040386594
Protein_OHE_988,0.0040190066
TTF_385,0.004004304
Protein_OHE_288,0.003984482
Protein_OHE_301,0.0039820466
Protein_OHE_867,0.003962355
Protein_OHE_909,0.003954174
TTF_1630,0.0039420496
Protein_OHE_766,0.0039235847
MACCS_54,0.0039128633
Protein_OHE_635,0.0039054912
Protein_OHE_93,0.003897141
MACCS_92,0.0038936832
Protein_OHE_782,0.0038735766
Protein_OHE_833,0.0038564845
TTF_1842,0.0038410777
Protein_OHE_633,0.00382676
Protein_OHE_506,0.0038179578
Protein_OHE_116,0.0037837892
Protein_OHE_889,0.003767149
TTF_2029,0.0037655432
TTF_14,0.003733381
TTF_49,0.0037283197
TTF_805,0.0037203382
MACCS_113,0.0037161233
Protein_OHE_746,0.0037150404
Protein_OHE_466,0.0037104415
Protein_OHE_552,0.0036838278
MACCS_91,0.0036709583
Protein_OHE_593,0.0036646235
Protein_OHE_334,0.0036279988
Protein_OHE_854,0.003609946
Protein_OHE_278,0.0036061076
Protein_OHE_960,0.0035917347
Protein_OHE_438,0.0035885135
Protein_OHE_862,0.0035657221
TTF_625,0.0035592136
Protein_OHE_809,0.0035498575
MACCS_96,0.0035433099
Protein_OHE_490,0.00353589
TTF_229,0.003521257
TTF_2042,0.0035182266
MACCS_121,0.0035169688
MACCS_39,0.0035059245
TTF_1757,0.0035019098
MACCS_115,0.0034878051
Protein_OHE_119,0.0034738842
Protein_OHE_917,0.0034707503
Protein_OHE_732,0.0034691452
Protein_OHE_310,0.0034592235
TTF_145,0.0034246028
Protein_OHE_73,0.0034125822
Protein_OHE_277,0.0034028944
MACCS_89,0.0034018937
Protein_OHE_504,0.003400448
TTF_1,0.003388207
TTF_511,0.0033606626
Protein_OHE_921,0.0033592097
Protein_OHE_90,0.0033537357
Protein_OHE_728,0.0033397283
TTF_1938,0.0033283115
Protein_OHE_597,0.0033148772
TTF_1750,0.0032947194
Protein_OHE_636,0.003289637
MACCS_38,0.0032789984
MACCS_98,0.0032745295
Protein_OHE_975,0.0032742862
TTF_478,0.003255055
Protein_OHE_94,0.0032534364
Protein_OHE_193,0.0032430673
TTF_1645,0.0032008882
Protein_OHE_675,0.0031871763
MACCS_78,0.0031831332
Protein_OHE_57,0.0031725077
Protein_OHE_630,0.0031519665
Protein_OHE_774,0.0031451941
Protein_OHE_263,0.0031409892
Protein_OHE_293,0.0031343047
Protein_OHE_439,0.0031253342
Protein_OHE_647,0.0030883376
TTF_361,0.0030861876
Protein_OHE_541,0.0030852177
Protein_OHE_354,0.003079457
MACCS_84,0.0030630333
Protein_OHE_272,0.0030379475
MACCS_47,0.00301219
Protein_OHE_587,0.0030101072
Protein_OHE_294,0.0030042056
Protein_OHE_206,0.0029997097
TTF_710,0.0029929604
MACCS_109,0.0029912174
Protein_OHE_742,0.0029780625
TTF_1493,0.002973415
Protein_OHE_740,0.0029658533
TTF_1949,0.0029625755
TTF_1793,0.0029618826
Protein_OHE_467,0.0029605294
TTF_1845,0.0029581853
MACCS_134,0.0029234497
TTF_1718,0.0029232658
TTF_589,0.0029172436
Protein_OHE_249,0.002911641
Protein_OHE_48,0.0029072352
Protein_OHE_381,0.00290018
Protein_OHE_254,0.0028923526
Protein_OHE_948,0.0028886166
Protein_OHE_873,0.0028875659
MACCS_66,0.0028857861
TTF_525,0.0028795497
MACCS_73,0.0028773725
MACCS_122,0.0028773441
Protein_OHE_609,0.0028648656
MACCS_114,0.0028644814
Protein_OHE_974,0.0028578942
Protein_OHE_173,0.0028507207
TTF_331,0.002848218
TTF_1909,0.0028461714
Protein_OHE_363,0.0028432042
Protein_OHE_955,0.002840885
Protein_OHE_98,0.0028408158
TTF_349,0.002832887
Protein_OHE_409,0.0028300972
Protein_OHE_369,0.0028284432
Protein_OHE_70,0.002821316
Protein_OHE_858,0.0028167178
Protein_OHE_926,0.002807949
TTF_1769,0.0028004034
Protein_OHE_922,0.0027953049
MACCS_102,0.0027925146
TTF_918,0.0027904813
Protein_OHE_773,0.0027817166
TTF_323,0.0027777795
TTF_498,0.0027763876
TTF_505,0.0027582748
Protein_OHE_292,0.0027515746
TTF_1635,0.0027499131
Protein_OHE_677,0.0027354031
Protein_OHE_328,0.0027323149
Protein_OHE_232,0.0027248256
TTF_1229,0.00271377
TTF_941,0.0027081205
TTF_1698,0.0027072278
TTF_1973,0.002699055
TTF_2,0.0026966087
Protein_OHE_465,0.002690126
Protein_OHE_847,0.002685485
MACCS_86,0.0026827692
TTF_1638,0.002682604
Protein_OHE_487,0.0026728758
TTF_455,0.0026646638
Protein_OHE_259,0.0026523347
TTF_1317,0.0026488767
Protein_OHE_250,0.0026465717
Protein_OHE_306,0.0026400124
Protein_OHE_804,0.0026315174
Protein_OHE_240,0.0026240242
MACCS_111,0.002606495
Protein_OHE_757,0.002600169
Protein_OHE_581,0.0025772308
TTF_461,0.0025724857
TTF_486,0.00256579
Protein_OHE_141,0.0025588954
MACCS_67,0.0025496602
Protein_OHE_569,0.002541595
MACCS_128,0.0025386864
TTF_1633,0.002528502
Protein_OHE_905,0.0025250306
TTF_25,0.0025226222
Protein_OHE_544,0.0025134927
Protein_OHE_86,0.0024950288
MACCS_105,0.0024905044
Protein_OHE_25,0.002488362
TTF_378,0.0024853877
MACCS_77,0.002479128
Protein_OHE_286,0.0024617382
Protein_OHE_619,0.002457115
TTF_305,0.0024535197
Protein_OHE_893,0.0024513083
Protein_OHE_196,0.002450632
Protein_OHE_31,0.0024422167
Protein_OHE_470,0.002427211
Protein_OHE_662,0.0024238226
Protein_OHE_798,0.0024194994
MACCS_135,0.0024182359
Protein_OHE_386,0.0024159602
Protein_OHE_775,0.0024157541
TTF_217,0.0024047967
Protein_OHE_416,0.0024006472
TTF_1715,0.0023847572
Protein_OHE_151,0.002384161
Protein_OHE_502,0.0023789797
Protein_OHE_714,0.002358246
TTF_1342,0.0023504563
TTF_250,0.0023460619
Protein_OHE_36,0.0023422253
Protein_OHE_268,0.0023398546
Protein_OHE_796,0.0023398213
TTF_1785,0.0023340532
Protein_OHE_985,0.0023303446
TTF_1289,0.0023252661
Protein_OHE_942,0.002321902
TTF_1477,0.0023142325
TTF_249,0.0022967714
Protein_OHE_496,0.002295254
MACCS_93,0.002294386
Protein_OHE_617,0.0022910275
MACCS_160,0.002285638
Protein_OHE_256,0.0022777433
MACCS_123,0.002262224
Protein_OHE_74,0.0022520402
Protein_OHE_248,0.002247692
TTF_1837,0.0022393458
TTF_17,0.002231114
Protein_OHE_924,0.002230953
Protein_OHE_346,0.0022159847
Protein_OHE_311,0.0022153954
Protein_OHE_423,0.002203862
MACCS_142,0.0022001471
Protein_OHE_189,0.002197685
Protein_OHE_30,0.0021931285
TTF_557,0.0021906216
MACCS_30,0.0021896285
